Date,Amanda,Ashley,Betty,Deborah,Dorothy,Helen,Linda,Patricia
1,241,0,117,12,112,636,27,0
2,263,0,112,14,109,612,38,0
3,288,0,123,15,115,838,36,0
4,287,0,120,16,141,862,49,0
5,337,0,144,13,163,986,33,6
6,339,0,155,10,196,1134,60,5
7,370,0,167,10,230,1267,49,8
8,338,0,178,15,272,1405,50,10
9,404,0,214,26,373,1847,77,12
10,413,0,189,12,377,1909,74,17
11,392,0,216,24,458,2312,54,11
12,371,0,239,15,566,2417,78,12
13,455,0,255,16,626,2936,83,21
14,387,0,298,24,821,3249,82,28
15,418,0,298,18,1052,3676,94,36
16,431,0,350,13,1127,4023,96,35
17,367,0,342,18,1366,4392,104,37
18,354,0,367,23,1472,4519,81,49
19,371,0,421,21,1671,5230,102,47
20,326,0,410,11,1687,5048,98,56
21,377,0,664,26,2491,6343,126,89
22,317,0,474,21,2173,5247,86,68
23,301,0,580,21,2707,5967,91,85
24,247,0,596,21,3078,6129,90,79
25,294,0,707,23,3477,6488,101,124
26,311,0,807,18,3937,6811,106,121
27,260,0,865,25,4326,7176,98,157
28,285,0,1018,21,4967,7579,102,177
29,260,0,1128,25,5703,8439,93,205
30,271,0,1082,26,6253,9250,105,233
